Operateur;x;y;2G;3G;4G
20801;48.456574558829914;-5.0888561153013425;1;1;0
20810;48.46285384829354;-5.088018169414727;1;1;0
20820;48.462881615228916;-5.088008862939317;1;1;1
20801;48.39729748137954;-4.956781637814169;0;1;1
20801;48.03805041236695;-4.854028771080819;1;1;0
20820;48.35406430949308;-4.780119809240888;1;1;1
20820;48.03859727036443;-4.73194616059219;1;0;0
20801;48.354700769315876;-4.777731877992547;1;1;0
20820;48.50420651952512;-4.771695463881178;1;1;0
20801;48.50433804018768;-4.771619784305977;1;1;0
20810;48.37001805336466;-4.748945696362188;1;1;1
20801;48.45420246575458;-4.754270395748872;1;1;1
20801;48.037218145782965;-4.677613741696569;1;1;1
20820;48.35043593788758;-4.722874591181863;1;1;1
20815;48.350550413530485;-4.722782941392553;0;1;1
20801;48.35061836231263;-4.722711567761941;1;1;1
20810;48.350648738226695;-4.722661788562955;1;1;0
20820;48.45027450353362;-4.736390230012219;1;1;1
20815;48.45028403016642;-4.736106277402934;0;1;1
20815;48.48749434730642;-4.736739805318331;0;1;1
20810;48.488195578413674;-4.736245166876137;1;1;0
20820;48.4071966827127;-4.716385615928395;1;1;0
20801;48.407508830118964;-4.716173610932812;1;1;1
20820;48.03327552874071;-4.661295219361246;1;1;0
20810;48.03323161751908;-4.661275366918119;1;1;0
20815;48.03339148591553;-4.6610424394908;0;1;1
20810;48.53802206452431;-4.732050082929068;1;1;0
20810;48.43584864044699;-4.712836408491828;1;1;0
20820;48.55459409750962;-4.691832189578886;1;1;0
20810;48.3601902548154;-4.641988237530727;1;1;1
20815;48.360317360426414;-4.641979626571426;0;1;1
20820;48.52844559680476;-4.660579008628378;1;1;1
20810;48.52869716369923;-4.660602261362574;1;1;0
20815;48.52854582705395;-4.660566479466568;0;1;0
20801;48.52875175552155;-4.660596652722695;1;1;1
20801;48.359271708664906;-4.632848317346045;1;1;1
20801;48.38189027371683;-4.621458999320933;0;1;1
20810;48.42861949293603;-4.627917599727266;0;1;0
20801;48.428640005028534;-4.627879842901477;0;1;1
20810;48.38830919658499;-4.621157156784437;1;1;1
20801;48.38826760521156;-4.620961122333534;1;1;0
20820;48.38821908811929;-4.620451957647646;1;1;1
20810;48.45859504950143;-4.627854753900021;1;1;0
20820;48.35724381245645;-4.613009485040318;1;1;1
20810;48.031695933338696;-4.561442054388973;1;1;0
